Messiers,RA,DEC
Messier 1,83.63308333,22.0145
Messier 2,323.36258333,-0.82325
Messier 3,205.54841667,28.37727778
Messier 4,245.89675,-26.52575
Messier 5,229.63841667,2.08102778
Messier 6,265.08333333,-32.25333333
Messier 7,268.4625,-34.79333333
Messier 8,270.90416667,-24.38666667
Messier 9,259.79908333,-18.51625
Messier 10,254.28770833,-4.10030556
Messier 11,282.77083333,-6.27
Messier 12,251.80908333,-1.94852778
Messier 13,250.423475,36.46131944
Messier 14,264.400625,-3.24591667
Messier 15,322.49304167,12.167
Messier 16,274.7,-13.80666667
Messier 17,275.19583333,-16.17166667
Messier 18,274.99166667,-17.10166667
Messier 19,255.65704167,-26.26794444
Messier 20,270.675,-22.97166667
Messier 21,271.05416667,-22.49
Messier 22,279.09975,-23.90475
Messier 23,269.26666667,-18.985
Messier 24,274.2,-18.55
Messier 25,277.94583333,-19.11666667
Messier 26,281.325,-9.38333333
Messier 27,299.90151337,22.72119788
Messier 28,276.13704167,-24.86983333
Messier 29,305.98333333,38.52333333
Messier 30,325.09216667,-23.17986111
Messier 31,10.68470833,41.26875
Messier 32,10.67427083,40.86516944
Messier 33,23.4621,30.65994167
Messier 34,40.52083333,42.76166667
Messier 35,92.225,24.33333333
Messier 36,84.075,34.14
Messier 37,88.075,32.55333333
Messier 38,82.17916667,35.855
Messier 39,322.95,48.43333333
Messier 40,185.55,58.08333333
Messier 41,101.50416667,-20.75666667
Messier 42,83.82208333,-5.39111111
Messier 43,83.87916667,-5.27
Messier 44,130.1,19.66666667
Messier 45,56.75,24.11666667
Messier 46,115.44166667,-14.81
Messier 47,114.14583333,-14.48333333
Messier 48,123.42916667,-5.75
Messier 49,187.44499167,8.00041111
Messier 50,105.69791667,-8.33777778
Messier 51,202.469575,47.19525833
Messier 52,351.2,61.59333333
Messier 53,198.23020833,18.16816667
Messier 54,283.763875,-30.47986111
Messier 55,294.99879167,-30.96475
Messier 56,289.14820833,30.18347222
Messier 57,283.39623732,33.02913421
Messier 58,189.43165417,11.81808889
Messier 59,190.509675,11.64693056
Messier 60,190.9167,11.55261111
Messier 61,185.47886465,4.47377454
Messier 62,255.3025,-30.11236111
Messier 63,198.95530772,42.02936836
Messier 64,194.18206667,21.68265833
Messier 65,169.73315417,13.09221111
Messier 66,170.06260833,12.99128889
Messier 67,132.825,11.8
Messier 68,189.86658333,-26.74405556
Messier 69,277.84625,-32.34808333
Messier 70,280.80316667,-32.29211111
Messier 71,298.44370833,18.77919444
Messier 72,313.36541667,-12.53730556
Messier 73,314.75,-12.63333333
Messier 74,24.17405,15.78346111
Messier 75,301.52017083,-21.92226111
Messier 76,25.58191863,51.57543143
Messier 77,40.66987917,-0.01328889
Messier 78,86.69083333,0.07916667
Messier 79,81.044125,-24.52425
Messier 80,244.26004167,-22.97608333
Messier 81,148.88822109,69.0652947
Messier 82,148.96845833,69.67970278
Messier 83,204.25382917,-29.86576111
Messier 84,186.26559721,12.88698314
Messier 85,186.35022083,18.19108056
Messier 86,186.549225,12.94596944
Messier 87,187.70593076,12.39112329
Messier 88,187.99673333,14.42041111
Messier 89,188.91586393,12.55634189
Messier 90,189.20756667,13.16286944
Messier 91,188.860125,14.49631944
Messier 92,259.28079167,43.13594444
Messier 93,116.125,-23.85666667
Messier 94,192.72145,41.12015278
Messier 95,160.99038221,11.70378539
Messier 96,161.6906,11.81993889
Messier 97,168.69880209,55.0190237
Messier 98,183.45121667,14.90046944
Messier 99,184.70677083,14.41648889
Messier 100,185.72888285,15.82230397
Messier 101,210.80242917,54.34875
Messier 102,226.62317083,55.76330833
Messier 103,23.34583333,60.65
Messier 104,189.99763271,-11.62305428
Messier 105,161.95666667,12.58163056
Messier 106,184.74008333,47.30371944
Messier 107,248.13275,-13.05377778
Messier 108,167.87902917,55.67412222
Messier 109,179.39993333,53.37451944
Messier 110,10.09189356,41.68541564
